week_ending,08/08/2020,08/15/2020,08/22/2020,08/29/2020,09/05/2020,09/12/2020,09/19/2020,09/26/2020,10/03/2020,10/10/2020,10/17/2020,10/24/2020,10/31/2020,11/07/2020,11/14/2020,11/21/2020,11/28/2020,12/05/2020,12/12/2020,12/19/2020,12/26/2020,01/02/2021,01/09/2021,01/16/2021,01/23/2021,01/30/2021,02/06/2021,02/13/2021,02/20/2021,02/27/2021,03/06/2021,03/13/2021,03/20/2021,03/27/2021,04/03/2021,04/10/2021,04/17/2021,04/24/2021,05/01/2021,05/08/2021,05/15/2021,05/22/2021,05/29/2021,06/05/2021,06/12/2021,06/19/2021,06/26/2021,07/03/2021,07/10/2021,07/17/2021,07/24/2021,07/31/2021,08/07/2021,08/14/2021,08/21/2021,08/28/2021,09/04/2021,09/11/2021,09/18/2021,09/25/2021,10/02/2021,10/09/2021,10/16/2021,10/23/2021,10/30/2021,11/06/2021,11/13/2021,11/20/2021,11/27/2021,12/04/2021,12/11/2021,12/18/2021,12/25/2021,01/01/2022,01/08/2022,01/15/2022,01/22/2022,01/29/2022,02/05/2022,02/12/2022,02/19/2022,02/26/2022,03/05/2022,03/12/2022,03/19/2022
10035,14.19,14.19,28.38,14.19,11.35,22.7,8.51,5.68,45.4,28.38,62.43,34.05,36.89,62.43,139.05,130.53,119.18,235.53,263.9,263.9,269.58,303.63,360.39,380.25,448.35,360.39,326.33,391.6,289.44,380.25,363.22,343.36,272.42,306.47,297.96,255.39,221.34,153.23,107.83,42.57,42.57,31.21,45.4,14.19,14.19,17.03,11.35,19.86,28.38,65.27,90.81,124.86,110.67,173.1,187.29,133.37,144.72,116.34,122.02,161.75,104.99,124.86,68.1,68.1,73.78,42.57,31.21,68.1,73.78,173.1,195.8,686.72,2474.46,3717.36,3479,1359.25,550.51,326.33,141.88,93.64,45.4,22.7,53.92,42.57,62.43
10036,11.01,22.02,22.02,14.68,14.68,25.7,36.71,62.4,22.02,33.04,69.74,47.72,55.06,128.48,198.22,198.22,209.23,359.74,245.94,253.28,216.58,234.93,407.46,480.87,425.81,436.82,278.98,190.88,201.89,264.3,216.58,282.65,253.28,319.36,304.67,242.27,146.83,121.14,77.09,55.06,36.71,25.7,29.37,25.7,40.38,91.77,44.05,47.72,88.1,168.86,234.93,242.27,249.61,256.95,253.28,223.92,242.27,216.58,245.94,249.61,220.25,154.17,110.12,128.48,132.15,117.47,132.15,256.95,245.94,370.75,565.3,2940.3,3634.07,3758.88,7594.85,3094.47,1057.19,1005.79,557.96,385.43,363.41,231.26,150.5,187.21,315.69
10037,14.43,28.86,38.47,24.05,38.47,19.24,14.43,14.43,19.24,24.05,28.86,14.43,67.33,48.09,67.33,86.57,81.76,211.61,250.08,187.56,206.8,302.98,428.02,322.22,322.22,274.13,240.46,288.55,201.99,226.03,163.51,259.7,293.36,360.69,250.08,317.41,230.84,221.22,86.57,81.76,57.71,28.86,24.05,4.81,33.66,9.62,4.81,28.86,139.47,144.28,100.99,216.42,312.6,254.89,250.08,182.75,211.61,149.09,173.13,96.18,96.18,48.09,52.9,72.14,100.99,43.28,76.95,81.76,76.95,158.7,226.03,783.9,2356.52,3462.64,3438.6,1149.41,500.16,168.32,67.33,52.9,43.28,62.52,38.47,33.66,72.14
10038,13.12,13.12,26.24,56.86,34.99,34.99,43.74,56.86,30.62,56.86,39.36,61.23,56.86,122.46,139.95,231.8,201.18,179.32,223.05,231.8,218.68,275.54,275.54,432.98,376.13,441.73,258.04,205.56,236.17,244.92,223.05,218.68,284.28,319.27,266.79,179.32,166.2,109.34,96.22,83.1,83.1,26.24,13.12,17.49,21.87,13.12,13.12,13.12,30.62,65.6,78.72,109.34,153.08,227.43,144.33,109.34,183.69,157.45,192.44,139.95,122.46,61.23,69.98,65.6,91.85,69.98,118.09,131.21,135.58,253.67,415.49,1959.36,2361.73,1858.77,2230.52,1172.12,603.55,306.15,161.82,100.59,48.11,78.72,118.09,74.35,118.09
10039,29.43,44.15,33.11,11.04,7.36,0,18.4,22.07,40.47,11.04,33.11,18.4,47.83,114.05,91.98,143.48,176.6,139.8,242.82,220.74,235.46,272.25,412.06,250.18,364.23,404.7,356.87,353.19,213.39,334.8,301.68,242.82,246.5,312.72,290.65,224.42,202.35,95.66,73.58,117.73,77.26,47.83,47.83,3.68,3.68,11.04,22.07,18.4,51.51,80.94,103.01,121.41,117.73,165.56,213.39,165.56,121.41,73.58,128.77,117.73,132.45,84.62,69.9,66.22,25.75,36.79,62.54,77.26,66.22,110.37,128.77,713.74,2233.2,3513.51,2910.15,1169.94,533.47,202.35,99.33,44.15,29.43,36.79,33.11,36.79,25.75
10040,31.84,31.84,27.29,45.49,18.2,29.57,22.74,27.29,54.59,50.04,25.02,38.67,54.59,122.82,238.82,179.68,218.35,300.23,288.86,268.39,338.9,345.72,470.81,489.01,545.87,438.97,502.66,420.78,368.46,307.05,359.37,268.39,200.15,259.29,229.72,202.43,141.02,120.55,104.63,63.69,40.94,22.74,15.92,13.65,31.84,13.65,15.92,15.92,27.29,11.37,34.12,63.69,97.8,113.72,138.74,93.25,120.55,116,116,70.51,70.51,97.8,59.14,93.25,79.61,43.21,54.59,56.86,54.59,100.08,186.51,618.66,1849.14,3293.43,2554.23,1039.43,511.76,241.09,84.16,56.86,45.49,31.84,22.74,31.84,18.2
10044,0,8.57,17.14,8.57,8.57,8.57,17.14,25.7,8.57,17.14,0,51.41,119.95,51.41,85.68,25.7,154.22,154.22,128.51,68.54,154.22,128.51,359.84,334.14,231.33,145.65,102.81,77.11,145.65,171.35,197.06,85.68,77.11,222.76,94.24,154.22,137.08,68.54,94.24,17.14,17.14,25.7,8.57,0,51.41,8.57,0,25.7,8.57,25.7,51.41,128.51,154.22,145.65,145.65,94.24,68.54,119.95,162.78,119.95,51.41,25.7,34.27,59.97,42.84,111.38,68.54,94.24,119.95,188.49,248.46,1019.55,2090.5,2321.83,2381.8,1045.25,539.76,274.16,188.49,85.68,68.54,59.97,51.41,59.97,85.68
10065,10.75,7.17,28.67,14.34,14.34,28.67,50.18,53.77,32.26,25.09,53.77,78.86,57.35,121.87,111.11,100.36,186.39,186.39,211.48,243.74,189.97,250.9,329.76,365.6,261.66,275.99,154.13,161.3,150.54,132.62,207.89,222.23,118.28,182.8,179.22,222.23,78.86,78.86,50.18,17.92,32.26,21.51,17.92,25.09,3.58,10.75,14.34,28.67,10.75,46.6,100.36,129.04,121.87,164.88,93.19,121.87,121.87,154.13,143.37,182.8,82.44,139.79,103.95,68.1,60.93,75.27,96.78,132.62,154.13,164.88,326.18,2397.93,3061.03,2806.54,3272.51,1372.8,598.59,405.03,193.55,236.57,111.11,111.11,100.36,132.62,175.63
10069,31.82,15.91,15.91,31.82,0,0,47.74,31.82,47.74,0,79.56,63.65,31.82,206.86,111.38,206.86,206.86,254.59,302.33,143.21,302.33,302.33,477.36,381.89,318.24,318.24,334.15,238.68,190.94,127.3,254.59,238.68,206.86,206.86,175.03,365.98,159.12,143.21,31.82,95.47,0,31.82,15.91,0,0,0,31.82,31.82,47.74,63.65,111.38,159.12,127.3,206.86,111.38,63.65,111.38,175.03,143.21,159.12,143.21,159.12,31.82,47.74,31.82,95.47,222.77,254.59,111.38,190.94,286.42,1368.43,2959.63,2673.22,3277.87,1272.96,1177.49,365.98,365.98,206.86,175.03,206.86,111.38,206.86,206.86
10075,21.7,21.7,4.34,13.02,26.04,21.7,30.38,34.72,56.41,34.72,39.05,43.39,82.45,147.54,151.88,143.2,195.27,208.29,216.97,286.4,238.67,290.74,433.94,368.85,290.74,308.1,277.72,238.67,221.31,277.72,273.38,238.67,203.95,260.37,216.97,130.18,99.81,56.41,52.07,13.02,8.68,39.05,13.02,4.34,0,8.68,13.02,17.36,34.72,73.77,78.11,73.77,99.81,125.84,130.18,121.5,121.5,99.81,164.9,104.15,65.09,99.81,73.77,117.16,56.41,121.5,160.56,177.92,173.58,182.26,308.1,1592.57,1948.4,1826.9,2104.62,1054.48,659.59,338.48,247.35,160.56,121.5,91.13,104.15,130.18,208.29
10128,6.83,10.25,6.83,10.25,17.08,10.25,23.91,18.78,22.2,34.15,23.91,35.86,63.18,111,112.71,131.49,143.45,242.49,199.8,228.83,227.12,230.54,300.55,314.21,303.97,283.48,268.11,244.2,213.46,194.68,237.37,191.26,182.72,237.37,165.65,153.69,71.72,56.35,46.11,23.91,34.15,10.25,17.08,6.83,10.25,6.83,3.42,17.08,10.25,30.74,73.43,126.37,124.66,138.32,122.95,128.08,102.46,157.11,146.86,131.49,116.12,90.51,87.09,64.89,63.18,88.8,140.03,158.81,160.52,222,293.72,1656.45,2252.44,2091.91,2233.65,1145.86,683.07,377.4,215.17,163.94,102.46,111,88.8,119.54,141.74
10280,10.7,0,0,0,0,0,21.4,42.8,32.1,10.7,10.7,10.7,32.1,64.2,85.6,117.69,74.9,171.19,149.79,139.09,246.09,299.59,278.19,299.59,203.29,256.79,128.39,299.59,171.19,117.69,192.59,96.3,96.3,224.69,171.19,149.79,160.49,42.8,21.4,32.1,21.4,10.7,10.7,10.7,0,0,10.7,42.8,10.7,42.8,128.39,139.09,160.49,74.9,128.39,32.1,74.9,53.5,107,139.09,21.4,0,107,64.2,64.2,53.5,85.6,53.5,139.09,96.3,299.59,1744.02,2022.21,1487.23,1947.31,631.27,470.78,160.49,128.39,64.2,74.9,64.2,42.8,107,96.3
10282,17.95,0,17.95,17.95,17.95,0,53.84,35.89,17.95,17.95,0,17.95,35.89,107.68,161.52,197.42,53.84,215.36,161.52,125.63,233.31,35.89,233.31,107.68,107.68,269.21,161.52,89.74,107.68,197.42,71.79,197.42,233.31,161.52,71.79,107.68,143.58,35.89,71.79,35.89,17.95,17.95,0,17.95,0,0,35.89,0,0,35.89,89.74,305.1,35.89,35.89,125.63,179.47,143.58,17.95,89.74,71.79,107.68,161.52,107.68,125.63,107.68,161.52,107.68,179.47,125.63,179.47,628.15,1525.5,1525.5,1974.18,1202.45,1022.98,628.15,269.21,125.63,71.79,125.63,53.84,89.74,71.79,71.79
10301,28.27,25.7,12.85,25.7,28.27,10.28,20.56,38.56,61.69,43.7,53.98,105.39,89.96,208.2,287.88,321.3,375.27,470.38,411.26,388.13,493.51,532.07,673.44,534.64,503.79,454.95,287.88,331.58,293.02,308.44,339.29,334.15,282.74,431.82,377.84,370.13,311.01,185.07,107.96,154.22,69.4,53.98,41.13,30.84,30.84,25.7,25.7,12.85,43.7,41.13,82.25,167.07,177.36,218.48,179.93,182.5,305.87,236.47,236.47,149.08,154.22,115.67,125.95,79.68,77.11,61.69,87.39,113.1,151.65,257.04,295.59,853.36,1884.08,3855.55,3359.47,1544.79,676.01,316.16,167.07,128.52,48.84,33.41,51.41,43.7,64.26
10302,32.46,32.46,5.41,21.64,5.41,27.05,27.05,27.05,43.28,32.46,21.64,81.15,167.7,254.26,313.77,378.69,443.6,643.77,540.98,492.29,530.16,779.01,800.65,595.08,697.86,519.34,405.74,459.83,308.36,513.93,454.42,286.72,432.78,465.24,465.24,638.36,313.77,362.46,146.06,162.29,97.38,64.92,43.28,54.1,37.87,70.33,32.46,64.92,75.74,27.05,151.47,151.47,221.8,146.06,227.21,227.21,248.85,270.49,308.36,270.49,124.43,140.65,75.74,43.28,48.69,81.15,135.25,91.97,113.61,302.95,205.57,784.42,2088.18,4971.61,4387.35,1904.25,930.49,421.96,97.38,124.43,64.92,37.87,59.51,59.51,48.69
10303,18.86,30.17,3.77,26.4,18.86,11.32,7.54,33.95,15.09,33.95,67.89,86.75,90.52,101.84,380.95,350.78,256.48,550.68,403.58,384.72,418.67,618.57,701.55,637.43,422.44,441.3,297.97,414.9,380.95,331.92,403.58,433.76,350.78,463.93,362.09,414.9,347,320.6,196.13,120.7,150.87,60.35,60.35,64.12,11.32,18.86,45.26,56.58,22.63,67.89,86.75,196.13,207.45,279.11,241.39,173.5,177.27,203.68,237.62,162.19,158.42,165.96,147.1,124.47,79.21,33.95,109.38,71.66,135.78,218.76,358.32,848.65,2089.57,4771.32,4228.18,1893.44,788.3,343.23,184.82,105.61,86.75,64.12,52.81,41.49,15.09
10304,16.71,26.26,33.42,19.1,40.59,26.26,35.81,26.26,52.52,50.14,57.3,69.23,90.72,155.18,272.16,370.04,350.95,508.51,408.24,427.34,527.61,589.68,725.76,744.86,632.66,446.44,341.4,377.21,324.68,358.11,393.92,341.4,319.91,518.06,460.76,367.66,367.66,238.74,152.79,133.69,105.04,64.46,35.81,19.1,28.65,19.1,19.1,23.87,31.04,69.23,107.43,128.92,150.41,241.13,164.73,183.83,281.71,186.22,157.57,162.34,167.12,102.66,148.02,121.76,85.95,83.56,100.27,148.02,179.05,272.16,358.11,823.65,2162.97,4027.52,3514.23,1518.38,649.37,355.72,219.64,133.69,85.95,59.68,54.91,40.59,19.1
10305,16.33,32.67,16.33,21,18.67,23.33,39.67,49,32.67,63,53.67,84,119,165.67,261.34,301.01,375.68,494.68,452.68,515.68,476.01,702.35,760.68,695.35,674.35,450.34,506.34,394.34,298.67,312.67,375.68,382.68,385.01,450.34,375.68,401.34,277.67,207.67,158.67,98,84,67.67,39.67,21,9.33,25.67,32.67,18.67,56,67.67,121.34,151.67,168,217,179.67,179.67,226.34,161,156.34,135.34,107.34,109.67,158.67,156.34,102.67,95.67,123.67,114.34,179.67,322.01,343.01,669.68,1792.04,3544.41,3532.75,1955.38,812.02,387.34,219.34,102.67,79.34,84,30.33,46.67,42
10306,13.26,24.62,18.94,18.94,35.98,30.3,35.98,60.6,24.62,79.54,66.28,94.68,124.98,253.76,412.83,429.87,518.87,751.8,605.98,594.62,698.77,844.59,888.14,755.58,662.79,528.34,393.89,433.66,407.14,435.55,446.91,509.4,482.89,530.23,507.51,426.08,316.25,265.12,155.28,98.47,66.28,85.22,83.32,37.87,45.45,51.13,54.92,35.98,68.17,83.32,130.66,185.58,299.2,263.22,268.9,261.33,248.07,219.67,253.76,215.88,178.01,164.75,138.24,130.66,136.35,123.09,204.52,232.92,280.27,376.85,410.93,884.36,2217.52,3959.72,3984.33,1931.57,988.51,467.74,268.9,170.43,109.83,87.11,77.64,51.13,54.92
10307,6.71,20.12,13.41,6.71,20.12,46.94,6.71,53.65,127.41,114,40.24,80.47,127.41,301.77,429.18,355.41,429.18,576.71,529.77,502.95,603.53,697.42,878.48,831.54,576.71,281.65,288.36,482.83,375.53,476.12,409.06,529.77,496.24,563.3,536.48,409.06,301.77,382.24,268.24,127.41,100.59,73.77,33.53,13.41,26.82,40.24,67.06,40.24,60.35,93.88,140.82,147.53,234.71,362.12,281.65,368.83,295.06,261.53,295.06,241.41,194.47,174.35,194.47,207.88,140.82,140.82,93.88,268.24,201.18,429.18,570,1079.66,2353.78,3741.91,2903.67,1475.31,610.24,254.83,174.35,120.71,67.06,60.35,73.77,6.71,46.94
10308,10.06,3.35,40.24,10.06,40.24,33.53,33.53,53.65,73.77,26.83,60.36,93.89,117.37,207.91,318.57,392.34,425.88,586.84,556.66,516.42,543.25,694.15,902.06,630.43,553.31,456.06,382.28,422.52,362.16,285.04,429.23,405.76,506.36,479.53,429.23,378.93,285.04,258.21,140.84,120.72,83.83,40.24,60.36,33.53,26.83,43.59,83.83,70.42,80.48,110.66,93.89,207.91,264.92,274.98,241.44,268.27,298.45,261.56,238.09,140.84,150.9,144.19,191.14,114.01,137.49,93.89,204.56,295.1,214.62,388.99,392.34,828.28,2055.62,3842.96,3289.66,1545.9,744.45,372.22,224.68,110.66,73.77,30.18,20.12,46.95,60.36
10309,9.11,21.25,15.18,6.07,60.72,54.65,12.14,45.54,66.79,69.82,85,151.79,145.72,239.83,327.87,309.66,376.45,680.03,513.06,567.71,661.82,928.97,1159.7,771.11,670.93,500.92,318.77,455.38,379.48,421.98,510.02,516.1,494.85,549.49,513.06,406.81,388.59,264.12,267.16,127.51,91.08,63.75,24.29,27.32,39.47,48.57,51.61,100.18,94.11,103.22,170.01,248.94,279.3,279.3,306.62,321.8,403.77,288.41,340.02,279.3,255.01,133.58,148.76,154.83,127.51,142.69,200.37,242.87,291.44,525.2,643.6,1284.17,2589.59,4065.02,3224.09,1593.83,768.07,333.94,203.4,148.76,85,75.9,54.65,36.43,57.68
10310,25.6,34.13,12.8,42.66,42.66,46.93,46.93,59.72,106.65,51.19,59.72,46.93,106.65,268.75,324.21,332.74,409.53,622.83,516.18,631.36,639.89,814.79,823.32,584.43,533.24,460.72,396.73,311.41,234.63,238.89,401,354.07,388.2,533.24,460.72,383.93,430.86,238.89,174.9,145.04,123.71,17.06,46.93,59.72,42.66,21.33,29.86,34.13,42.66,46.93,93.85,226.09,332.74,243.16,260.22,273.02,247.42,166.37,243.16,179.17,132.24,140.78,106.65,68.25,115.18,59.72,115.18,191.97,157.84,294.35,328.48,925.71,2491.3,4641.33,4120.89,1518.67,784.93,298.62,174.9,93.85,119.45,46.93,51.19,55.46,59.72
10312,16.38,19.66,14.74,18.02,18.02,47.5,36.03,42.59,57.33,49.14,55.69,67.16,170.34,237.5,303.02,347.24,437.33,674.83,591.29,517.59,571.64,805.86,981.12,684.65,579.83,412.76,360.34,353.79,319.4,398.02,470.09,440.6,440.6,530.69,396.38,453.71,314.48,230.95,152.33,135.95,67.16,52.41,54.05,19.66,36.03,47.5,58.97,88.45,63.88,91.72,176.9,271.9,260.43,303.02,322.67,311.21,304.65,263.71,244.05,212.93,176.9,201.47,180.17,144.14,142.5,96.64,126.12,222.76,265.34,352.15,524.14,1017.15,2442.15,4227.49,3393.79,1551.12,818.96,470.09,258.79,162.15,113.02,39.31,67.16,55.69,80.26
10314,18.37,22.7,25.94,20.54,42.15,29.18,33.5,43.23,44.31,68.09,74.58,82.14,159.96,193.46,265.88,289.65,371.8,597.68,505.82,490.68,580.39,711.17,795.47,642,539.32,470.15,400.98,353.42,331.81,333.97,393.41,358.83,409.62,399.9,355.58,348.02,245.34,192.38,139.42,81.06,64.85,42.15,30.26,31.34,20.54,19.45,25.94,43.23,49.72,91.87,95.11,168.61,203.19,214,205.35,216.16,202.11,183.74,168.61,165.36,142.67,162.12,170.77,152.39,101.6,94.03,94.03,129.7,153.47,296.14,375.04,702.52,1861.14,3698.51,3254.3,1609.31,839.78,336.13,211.84,134.02,74.58,67.01,41.07,34.59,54.04
10451,61.22,31.67,48.56,19,23.22,33.78,38,23.22,42.22,38,65.45,50.67,52.78,105.56,120.34,192.12,221.67,285.01,331.45,287.12,285.01,388.46,561.57,513.01,532.01,498.24,453.9,487.68,413.79,475.01,365.23,352.57,304.01,401.12,361.01,280.79,221.67,200.56,82.34,86.56,95,71.78,31.67,25.33,35.89,31.67,21.11,14.78,42.22,35.89,78.11,139.34,154.12,154.12,217.45,194.23,164.67,147.78,141.45,120.34,118.23,130.89,92.89,84.45,82.34,86.56,88.67,111.89,97.11,168.89,282.9,800.13,2480.62,4661.46,4161.11,1600.27,567.9,291.34,179.45,69.67,50.67,44.33,27.45,23.22,23.22
10452,45.21,39.89,38.56,35.9,27.92,57.17,35.9,41.22,43.88,47.86,37.23,63.82,73.13,115.67,198.11,231.34,224.7,307.13,340.37,319.1,323.08,498.59,672.76,583.68,538.47,491.94,358.98,490.61,329.73,465.35,436.1,406.85,297.82,343.03,296.49,215.39,175.5,128.97,115.67,59.83,69.14,57.17,27.92,27.92,22.6,21.27,11.97,26.59,31.91,50.52,55.84,78.44,128.97,127.64,111.68,160.88,131.63,107.69,118.33,128.97,85.09,75.79,63.82,54.51,43.88,41.22,51.85,59.83,65.15,111.68,148.91,569.06,1958.45,3930.2,3575.21,1354.83,456.04,202.09,94.4,43.88,27.92,14.63,19.94,14.63,23.93
10453,40.67,50.84,41.94,41.94,19.07,27.96,33.05,29.23,48.3,53.38,57.2,73.72,80.07,96.6,203.36,233.87,210.99,302.5,354.61,343.17,369.86,446.12,627.88,537.64,514.76,564.33,490.61,474.09,357.15,360.97,386.39,343.17,275.81,329.19,301.23,252.93,191.92,146.17,82.62,74.99,53.38,34.32,31.78,34.32,41.94,31.78,15.25,11.44,20.34,36.86,62.28,96.6,139.81,118.2,116.93,127.1,119.47,125.83,96.6,114.39,95.33,113.12,85.16,44.49,58.47,53.38,67.36,73.72,72.45,157.61,219.88,504.59,1835.34,3839.72,3474.94,1187.12,442.31,186.84,119.47,48.3,31.78,22.88,12.71,22.88,22.88
10454,29.08,42.29,21.15,23.79,13.22,13.22,21.15,5.29,7.93,7.93,23.79,44.94,76.66,116.31,126.88,163.89,227.33,330.43,311.92,317.21,277.56,375.37,518.11,576.27,597.41,541.9,491.68,462.6,346.29,370.08,362.15,409.73,433.52,486.39,288.13,256.41,224.69,203.54,140.1,92.52,31.72,26.43,31.72,23.79,50.23,21.15,21.15,18.5,31.72,44.94,81.95,97.81,190.33,211.47,206.19,121.6,137.46,177.11,121.6,142.74,84.59,74.02,103.09,52.87,39.65,71.37,116.31,42.29,79.3,126.88,185.04,885.55,2582.63,4181.9,4189.83,1691.79,607.99,200.9,113.67,68.73,34.36,18.5,34.36,21.15,34.36
10455,33.42,57.29,26.26,38.19,21.48,14.32,19.1,40.58,33.42,42.97,38.19,69.22,78.77,100.25,138.45,171.86,253.02,295.99,264.96,286.44,276.89,374.76,513.2,522.75,470.24,527.52,498.88,393.85,417.72,401.01,393.85,317.47,305.53,496.49,264.96,319.86,233.92,159.93,126.51,97.87,57.29,35.8,31.03,23.87,33.42,23.87,23.87,33.42,31.03,42.97,105.03,116.96,145.61,145.61,171.86,133.67,102.64,107.41,114.58,128.9,112.19,62.06,71.61,69.22,47.74,47.74,66.84,100.25,107.41,164.7,212.44,634.94,1990.75,4036.4,4248.84,1589.73,556.17,250.63,658.81,45.35,71.61,35.8,35.8,11.93,28.64
10456,26.83,24.68,23.61,28.97,18.24,30.05,18.24,27.9,23.61,23.61,36.48,38.63,36.48,75.11,137.35,159.88,178.13,239.29,238.22,233.92,245.73,335.86,452.82,471.07,438.87,428.14,361.62,360.54,302.6,309.04,297.23,319.77,368.05,318.69,260.75,280.06,181.34,139.5,104.09,69.75,48.29,40.78,46.14,18.24,28.97,17.17,17.17,16.1,25.75,45.07,48.29,85.84,114.82,109.45,154.52,124.47,92.28,122.33,96.57,113.74,101.94,77.26,68.67,54.73,45.07,56.87,52.58,57.94,51.51,98.72,130.91,598.76,2007.67,3690.2,3441.25,1321.99,511.84,221.05,87.99,49.36,17.17,17.17,18.24,12.88,26.83
10457,24.42,24.42,32.55,21.7,24.42,21.7,16.28,17.63,24.42,44.76,37.98,59.68,58.33,122.08,157.35,166.84,218.39,269.93,316.05,269.93,275.36,408.29,515.45,497.82,534.44,505.96,434.07,453.06,385.23,371.67,287.57,326.91,271.29,340.47,352.68,253.66,219.75,137,109.87,67.82,47.48,24.42,27.13,29.84,31.2,9.5,9.5,9.5,18.99,35.27,52.9,69.18,86.81,108.52,153.28,111.23,147.85,116.66,108.52,118.01,128.86,90.88,81.39,75.96,36.62,47.48,55.61,77.32,88.17,109.87,172.27,606.34,2048.25,3986.62,3690.91,1384.94,459.84,185.83,104.45,61.04,32.55,12.21,27.13,14.92,20.35
10458,42.3,30.21,32.63,29.01,8.46,9.67,45.93,41.09,25.38,30.21,44.72,68.89,94.27,120.86,141.41,159.54,174.04,269.52,314.24,288.86,294.9,418.18,547.5,489.48,525.74,557.16,454.43,491.9,375.87,400.05,377.08,334.78,390.38,322.7,290.06,212.71,183.71,126.9,107.57,58.01,41.09,44.72,32.63,35.05,32.63,13.29,14.5,24.17,19.34,42.3,59.22,97.9,99.11,112.4,118.44,132.95,164.37,120.86,103.94,123.28,107.57,102.73,65.26,59.22,50.76,53.18,53.18,67.68,55.6,154.7,161.95,603.09,1638.86,3815.55,3405.83,1324.62,507.61,204.25,116.03,93.06,33.84,20.55,12.09,13.29,19.34
10459,18.8,16.71,35.51,35.51,29.24,39.69,45.96,33.42,31.33,35.51,27.16,50.13,108.62,129.51,213.06,217.24,204.71,254.84,248.57,325.86,317.51,507.59,618.3,555.64,593.24,586.97,382.26,515.95,330.04,426.13,432.4,344.66,340.49,398.97,323.77,304.97,213.06,183.82,119.07,83.55,60.58,56.4,20.89,31.33,22.98,16.71,25.07,10.44,25.07,45.96,75.2,100.27,169.2,196.35,196.35,154.58,158.75,129.51,169.2,131.6,71.02,94,68.93,43.87,52.22,77.29,56.4,89.82,68.93,116.98,190.09,649.64,1988.6,4002.27,3599.12,1579.18,563.99,236.04,148.31,60.58,25.07,37.6,14.62,14.62,10.44
10460,44.16,23.78,30.57,25.48,22.08,25.48,25.48,37.37,25.48,35.67,69.64,35.67,64.54,112.1,125.69,178.34,227.6,380.47,315.93,270.07,351.59,417.84,560.51,560.51,519.75,572.4,465.4,506.16,378.77,497.67,436.52,319.32,331.21,377.07,324.42,307.43,237.79,161.36,152.87,110.4,78.13,57.75,30.57,39.07,16.99,16.99,8.49,20.38,37.37,44.16,69.64,112.1,123.99,123.99,171.55,163.06,154.57,129.09,146.07,161.36,83.23,101.91,76.43,57.75,37.37,64.54,73.04,122.29,67.94,174.95,227.6,567.31,2121.45,4259.89,3960.95,1515.08,526.54,232.7,117.2,69.64,47.56,32.27,23.78,27.18,28.87
10461,18.33,16.29,16.29,38.7,38.7,18.33,24.44,38.7,42.77,40.73,48.88,69.25,75.36,114.06,150.72,240.34,258.67,419.57,401.24,366.61,407.35,572.33,657.87,621.21,584.55,625.28,578.44,556.03,403.28,380.87,307.55,338.1,327.92,391.06,329.95,289.22,238.3,150.72,91.65,101.84,63.14,46.85,16.29,16.29,26.48,8.15,8.15,8.15,24.44,46.85,75.36,116.09,138.5,164.98,224.04,183.31,158.87,209.79,193.49,193.49,124.24,107.95,77.4,77.4,42.77,26.48,91.65,79.43,101.84,285.14,281.07,682.31,2207.84,4205.89,3757.8,1621.25,676.2,291.26,132.39,81.47,63.14,46.85,32.59,30.55,48.88
10462,27.88,39.83,37.18,34.52,19.92,25.23,31.87,46.47,30.54,33.19,77.01,57.09,95.6,135.43,139.41,187.21,253.6,358.49,298.74,346.54,333.26,427.53,661.22,645.28,617.4,527.11,532.42,456.74,504.54,471.35,370.44,351.85,273.51,335.92,354.51,280.15,224.39,151.36,120.82,99.58,79.66,34.52,27.88,25.23,23.9,21.24,7.97,17.26,25.23,38.5,80.99,132.77,146.05,124.81,151.36,155.35,98.25,144.72,169.95,148.71,102.24,96.93,74.35,73.03,73.03,51.78,61.08,136.76,116.84,181.9,203.14,568.27,2042.07,4081.48,4130.61,1585.32,707.69,284.14,171.28,82.32,42.49,46.47,30.54,31.87,46.47
10463,18.58,24.29,21.43,31.44,32.86,22.86,21.43,31.44,32.86,30.01,44.3,38.58,64.3,105.74,125.74,202.9,205.76,254.34,327.22,352.94,277.21,425.81,590.14,580.13,575.85,435.81,381.52,404.38,315.79,382.95,310.07,255.77,224.34,291.5,260.06,184.33,171.47,102.88,102.88,72.87,35.72,17.15,8.57,15.72,7.14,12.86,11.43,5.72,24.29,45.72,64.3,71.45,142.89,121.46,118.6,141.46,130.03,142.89,122.89,92.88,67.16,70.02,90.02,62.87,61.44,80.02,87.16,141.46,120.03,165.75,190.04,557.27,1830.42,3222.17,2937.82,1383.18,585.85,225.77,171.47,91.45,48.58,38.58,34.29,38.58,52.87
10464,23.34,23.34,0,0,0,0,0,23.34,46.67,46.67,0,0,0,46.67,186.68,116.68,350.03,746.72,326.69,560.04,583.38,256.69,513.37,396.7,373.36,350.03,326.69,233.35,373.36,233.35,186.68,303.36,326.69,280.02,443.37,140.01,116.68,70.01,70.01,23.34,70.01,0,0,46.67,0,0,0,23.34,93.34,0,70.01,116.68,163.35,163.35,140.01,210.02,163.35,46.67,23.34,140.01,93.34,70.01,23.34,0,70.01,23.34,93.34,93.34,140.01,140.01,280.02,816.73,1376.77,2846.88,2123.49,980.07,466.7,256.69,256.69,163.35,23.34,93.34,23.34,46.67,46.67
