week_ending,08/08/2020,08/15/2020,08/22/2020,08/29/2020,09/05/2020,09/12/2020,09/19/2020,09/26/2020,10/03/2020,10/10/2020,10/17/2020,10/24/2020,10/31/2020,11/07/2020,11/14/2020,11/21/2020,11/28/2020,12/05/2020,12/12/2020,12/19/2020,12/26/2020,01/02/2021,01/09/2021,01/16/2021,01/23/2021,01/30/2021,02/06/2021,02/13/2021,02/20/2021,02/27/2021,03/06/2021,03/13/2021,03/20/2021,03/27/2021,04/03/2021,04/10/2021,04/17/2021,04/24/2021,05/01/2021,05/08/2021,05/15/2021,05/22/2021,05/29/2021,06/05/2021,06/12/2021,06/19/2021,06/26/2021,07/03/2021,07/10/2021,07/17/2021,07/24/2021,07/31/2021,08/07/2021,08/14/2021,08/21/2021,08/28/2021,09/04/2021,09/11/2021,09/18/2021,09/25/2021,10/02/2021,10/09/2021,10/16/2021,10/23/2021,10/30/2021,11/06/2021,11/13/2021,11/20/2021,11/27/2021,12/04/2021,12/11/2021,12/18/2021,12/25/2021,01/01/2022,01/08/2022,01/15/2022,01/22/2022,01/29/2022,02/05/2022,02/12/2022,02/19/2022,02/26/2022,03/05/2022,03/12/2022,03/19/2022
10005,22.84,57.1,34.26,22.84,45.68,22.84,79.93,22.84,34.26,79.93,34.26,22.84,0,114.19,194.13,91.35,228.38,239.8,353.99,239.8,262.64,251.22,388.25,228.38,205.54,411.09,125.61,239.8,376.83,205.54,319.74,331.16,388.25,285.48,319.74,388.25,159.87,114.19,79.93,0,34.26,22.84,22.84,11.42,22.84,34.26,45.68,22.84,45.68,148.45,274.06,399.67,239.8,182.71,308.32,331.16,228.38,251.22,285.48,148.45,114.19,57.1,91.35,45.68,102.77,216.96,274.06,251.22,102.77,182.71,456.77,2980.4,3220.2,1838.48,1712.87,650.89,628.05,274.06,159.87,114.19,114.19,182.71,125.61,91.35,251.22
10006,0,0,0,59.14,147.85,0,29.57,59.14,59.14,29.57,29.57,59.14,29.57,147.85,295.7,118.28,236.56,118.28,295.7,236.56,147.85,354.84,266.13,236.56,384.41,354.84,147.85,88.71,354.84,206.99,88.71,295.7,473.12,295.7,206.99,177.42,325.27,88.71,59.14,0,0,29.57,0,29.57,29.57,0,0,29.57,147.85,0,236.56,236.56,295.7,147.85,118.28,325.27,118.28,236.56,177.42,206.99,147.85,118.28,118.28,88.71,59.14,177.42,147.85,177.42,147.85,147.85,502.69,3223.14,3400.56,3873.68,3252.71,946.24,502.69,354.84,177.42,236.56,118.28,147.85,354.84,147.85,266.13
10007,14.3,14.3,0,14.3,14.3,28.61,42.91,42.91,28.61,57.21,42.91,71.52,71.52,42.91,157.34,328.97,143.03,228.85,157.34,257.46,257.46,243.15,386.19,228.85,371.88,271.76,400.49,200.24,214.55,171.64,257.46,414.79,514.91,271.76,257.46,171.64,157.34,85.82,57.21,14.3,0,0,0,0,0,14.3,0,0,28.61,71.52,85.82,200.24,71.52,185.94,114.43,214.55,143.03,214.55,214.55,214.55,85.82,100.12,100.12,114.43,42.91,85.82,143.03,128.73,114.43,157.34,572.13,2860.64,2545.97,1616.26,2102.57,1001.22,758.07,300.37,157.34,71.52,128.73,157.34,228.85,200.24,400.49
10009,19.25,8.75,17.5,12.25,14,41.99,38.49,33.25,19.25,28,50.74,38.49,59.49,82.24,174.97,188.97,208.22,206.47,230.97,257.21,215.22,257.21,369.2,281.71,363.95,482.93,306.21,348.2,320.2,297.46,304.46,243.21,290.46,376.2,316.7,257.21,201.22,150.48,71.74,45.49,26.25,36.74,15.75,8.75,17.5,10.5,17.5,40.24,22.75,80.49,143.48,187.22,213.47,178.47,171.48,188.97,167.98,166.23,204.72,129.48,118.98,131.23,108.48,87.49,89.24,124.23,129.48,148.73,138.23,195.97,321.95,2243.18,2603.62,2649.12,2449.65,1195.08,643.91,335.95,162.73,111.98,78.74,80.49,90.99,115.48,152.23
10010,20.99,38.98,20.99,26.98,14.99,23.99,20.99,17.99,38.98,35.98,41.98,44.97,62.96,89.95,125.93,170.9,149.91,167.9,158.91,206.88,185.89,236.86,329.81,326.81,311.82,296.82,188.89,173.9,173.9,170.9,194.89,263.84,245.85,230.86,236.86,122.93,125.93,92.95,86.95,50.97,14.99,3,20.99,17.99,6,20.99,23.99,32.98,29.98,50.97,74.96,104.94,155.91,170.9,176.9,137.92,104.94,155.91,161.9,125.93,140.92,113.93,98.94,62.96,59.96,101.94,107.94,176.9,113.93,200.88,485.71,2071.78,2329.63,1837.92,2239.68,1133.33,674.6,347.79,218.87,122.93,125.93,107.94,110.93,140.92,170.9
10011,10.05,12.06,26.13,14.07,22.11,16.08,24.12,34.17,34.17,30.15,52.27,84.43,74.38,128.65,166.85,142.73,166.85,199.01,201.02,176.9,199.01,190.97,301.53,295.5,239.22,259.32,221.12,229.16,197,227.15,227.15,227.15,201.02,303.54,251.28,182.93,132.67,68.35,34.17,36.18,22.11,26.13,6.03,12.06,12.06,10.05,18.09,28.14,36.18,102.52,162.83,174.89,225.14,184.94,207.05,168.86,148.76,215.09,199.01,170.87,150.77,114.58,106.54,58.3,62.32,88.45,120.61,130.66,116.59,205.04,410.08,2884.65,2844.45,2311.74,2731.88,1198.09,591,355.81,178.91,110.56,102.52,106.54,102.52,130.66,170.87
10012,38.87,25.92,8.64,17.28,30.23,43.19,51.83,64.79,60.47,69.11,73.43,60.47,138.22,138.22,142.54,181.41,190.05,237.56,185.73,211.64,203.01,151.17,293.71,406.01,384.41,345.54,241.88,233.24,198.69,224.6,198.69,241.88,310.99,388.73,276.43,203.01,224.6,69.11,77.75,73.43,17.28,30.23,4.32,4.32,8.64,4.32,4.32,8.64,51.83,82.07,129.58,203.01,241.88,164.13,155.49,129.58,133.9,211.64,211.64,146.86,125.26,77.75,138.22,86.39,60.47,125.26,190.05,185.73,138.22,241.88,513.99,3256.73,2578.6,1537.66,1654.28,920,522.63,332.58,228.92,120.94,120.94,116.62,60.47,112.3,142.54
10013,20.82,17.35,6.94,6.94,13.88,31.23,20.82,38.17,38.17,13.88,24.29,41.64,48.58,83.28,114.51,142.27,197.79,229.02,180.44,260.25,253.31,263.72,357.4,395.57,326.18,367.81,364.34,277.6,211.67,260.25,253.31,242.9,270.66,291.48,267.19,284.54,128.39,72.87,55.52,48.58,31.23,20.82,10.41,10.41,10.41,3.47,6.94,17.35,55.52,48.58,131.86,124.92,176.97,131.86,111.04,173.5,135.33,128.39,163.09,107.57,90.22,100.63,107.57,83.28,69.4,83.28,142.27,173.5,128.39,183.91,392.1,2772.49,2956.4,3015.39,3140.3,1346.34,700.93,412.92,235.96,156.15,86.75,121.45,104.1,93.69,149.21
10014,3.3,6.59,13.19,13.19,3.3,23.07,39.56,52.74,56.04,46.15,59.34,69.22,72.52,161.52,158.23,247.23,125.26,204.38,184.6,201.08,141.75,191.19,290.08,283.49,234.04,260.42,194.49,234.04,207.67,240.64,250.53,217.56,273.6,349.42,267.01,128.56,141.75,85.71,52.74,29.67,9.89,26.37,6.59,9.89,29.67,19.78,13.19,26.37,36.26,95.6,118.67,151.63,220.86,154.93,210.97,184.6,178.01,191.19,260.42,201.08,145.04,135.15,118.67,59.34,92.3,98.89,151.63,184.6,125.26,148.34,593.35,3270.04,2396.49,1269.12,1565.79,761.47,553.8,286.79,197.78,115.37,89,115.37,95.6,105.49,178.01
10016,19.64,15.71,21.61,29.46,15.71,21.61,35.36,49.1,47.14,53.03,37.32,58.93,58.93,88.39,190.52,231.77,235.7,239.63,300.52,312.3,196.42,269.09,481.22,347.66,300.52,269.09,219.99,271.06,249.45,237.66,229.81,273.02,296.59,361.41,290.7,180.7,178.74,76.6,60.89,35.36,17.68,21.61,9.82,5.89,19.64,13.75,11.79,31.43,45.18,74.64,123.74,164.99,219.99,200.35,198.38,210.17,219.99,202.31,176.78,182.67,127.67,88.39,125.71,70.71,64.82,129.64,147.31,188.56,149.28,251.41,546.04,3062.14,2973.75,2182.19,2296.11,1123.5,646.21,408.55,221.95,168.92,108.03,98.21,100.17,119.81,176.78
10017,6.4,0,12.81,12.81,0,0,12.81,44.83,32.02,25.62,38.43,64.05,108.88,140.91,185.74,211.36,147.31,217.76,192.14,345.86,236.98,288.22,397.1,301.03,275.41,390.69,172.93,192.14,185.74,236.98,217.76,230.57,217.76,288.22,281.81,147.31,166.53,57.64,57.64,44.83,25.62,32.02,6.4,12.81,6.4,32.02,12.81,32.02,44.83,76.86,140.91,128.1,185.74,224.17,153.72,262.6,140.91,89.67,160.12,153.72,115.29,147.31,96.07,64.05,44.83,102.48,160.12,262.6,198.55,256.19,512.38,2433.83,2984.64,2606.76,3375.33,1127.25,742.96,397.1,236.98,153.72,140.91,83.26,121.69,217.76,179.33
10018,8.48,8.48,8.48,0,0,33.93,76.33,59.37,59.37,50.89,8.48,50.89,76.33,42.41,101.78,144.18,203.55,169.63,203.55,212.03,195.07,237.48,390.14,245.96,322.29,364.7,288.37,127.22,84.81,161.15,144.18,169.63,178.11,279.89,262.92,203.55,186.59,101.78,161.15,33.93,33.93,42.41,25.44,59.37,59.37,25.44,25.44,50.89,59.37,169.63,186.59,220.52,237.48,237.48,330.77,262.92,169.63,254.44,195.07,135.7,144.18,84.81,76.33,50.89,135.7,84.81,127.22,186.59,178.11,288.37,508.88,2705.56,3104.18,3417.99,4605.38,1662.35,890.54,644.58,491.92,296.85,203.55,110.26,169.63,161.15,279.89
10019,27.57,11.49,9.19,18.38,11.49,27.57,43.66,43.66,29.87,25.27,43.66,45.95,55.14,98.8,209.09,98.8,158.54,268.83,193,222.87,188.41,211.39,360.73,291.8,314.78,323.97,197.6,241.26,181.52,284.91,202.19,195.3,229.77,243.55,275.72,206.79,160.84,101.1,55.14,50.55,32.17,36.76,16.08,22.98,36.76,45.95,34.47,55.14,91.91,151.65,188.41,181.52,220.58,220.58,222.87,225.17,167.73,197.6,225.17,225.17,128.67,133.26,176.92,91.91,78.12,73.53,149.35,174.62,211.39,252.74,450.34,2162.1,3074.28,3283.37,3225.92,1330.35,847.84,434.26,211.39,186.11,160.84,151.65,174.62,124.07,183.81
10021,6.54,8.72,6.54,15.26,19.62,30.52,50.14,21.8,19.62,23.98,15.26,69.75,56.68,69.75,113.35,102.45,180.92,211.44,191.82,196.18,161.31,213.62,283.38,207.08,252.86,222.34,161.31,156.95,156.95,189.64,170.03,191.82,143.87,163.49,141.69,139.51,89.37,32.7,34.88,21.8,21.8,17.44,19.62,13.08,8.72,10.9,19.62,8.72,21.8,67.57,67.57,80.65,102.45,85.01,165.67,128.61,117.71,113.35,124.25,111.17,122.07,93.73,50.14,45.78,63.21,98.09,104.63,152.59,93.73,178.74,285.56,1408.16,1778.73,1240.31,1661.02,773.83,481.74,276.84,170.03,95.91,74.11,82.83,58.85,95.91,108.99
10022,16.18,9.71,16.18,16.18,9.71,38.84,16.18,12.95,19.42,16.18,35.6,84.15,77.68,100.34,139.18,155.36,181.25,223.33,197.44,216.86,200.67,320.43,398.11,226.57,275.11,255.7,213.62,187.73,142.41,113.28,168.31,161.83,174.78,233.04,229.8,103.57,64.73,48.55,42.08,38.84,25.89,3.24,3.24,6.47,9.71,0,25.89,32.37,25.89,48.55,74.44,103.57,184.49,135.94,139.18,145.65,148.89,110.05,100.34,71.21,100.34,74.44,80.92,67.97,106.81,90.63,158.6,226.57,148.89,203.91,368.98,1721.9,2162.08,1754.26,1932.28,961.28,631.15,346.32,239.51,126.23,90.63,71.21,116.52,67.97,194.2
10023,14.57,14.57,11.33,1.62,9.71,8.09,37.23,45.32,32.37,21.04,29.13,35.61,48.56,53.41,116.54,114.92,168.33,160.24,195.85,157,118.16,181.28,323.72,218.51,236.31,220.13,249.26,181.28,176.43,174.81,165.1,190.99,168.33,182.9,132.72,111.68,67.98,48.56,33.99,22.66,22.66,12.95,8.09,12.95,8.09,14.57,16.19,11.33,27.52,50.18,77.69,106.83,132.72,119.78,123.01,135.96,101.97,105.21,98.73,79.31,64.74,82.55,79.31,74.45,50.18,79.31,55.03,147.29,116.54,166.71,271.92,1404.93,2291.91,2351.8,2568.69,1029.42,666.86,349.61,189.37,137.58,93.88,67.98,61.51,111.68,139.2
10024,6.85,23.97,8.56,5.14,10.27,10.27,29.1,30.82,29.1,15.41,23.97,34.24,37.66,87.31,128.4,145.52,131.82,143.81,142.09,195.17,179.76,191.74,251.66,234.54,234.54,217.42,222.56,193.45,157.5,157.5,155.79,186.61,217.42,166.06,123.26,142.09,90.73,42.8,37.66,22.26,8.56,13.7,6.85,5.14,13.7,10.27,10.27,15.41,20.54,35.95,90.73,68.48,77.04,89.02,118.13,102.72,143.81,121.55,116.41,118.13,68.48,85.6,66.77,37.66,54.78,83.89,116.41,130.11,126.69,167.77,273.92,1194.96,1929.4,1783.88,2194.75,753.27,749.85,349.24,207.15,124.97,106.14,94.16,123.26,92.45,166.06
10025,6.55,14.19,13.1,17.46,14.19,32.74,20.74,31.65,32.74,21.83,33.84,39.29,52.39,77.49,122.24,142.98,168.09,187.73,203.01,184.46,163.72,191.01,273.96,273.96,313.25,321.98,243.4,204.1,235.76,268.5,200.83,201.92,194.28,191.01,180.09,158.26,97.14,86.23,62.21,32.74,27.29,21.83,10.91,12.01,14.19,8.73,14.19,17.46,20.74,51.3,78.59,88.41,111.33,110.24,98.23,122.24,114.6,132.07,145.16,91.68,93.87,92.77,55.66,58.94,37.11,80.77,109.15,106.96,123.34,161.54,237.94,1245.36,1865.31,2396.86,2736.3,1087.1,736.74,352.54,182.27,140.8,113.51,69.85,101.51,97.14,144.07
10026,7.76,25.86,41.38,12.93,28.45,18.1,20.69,36.21,33.62,25.86,36.21,33.62,43.97,67.25,106.04,111.21,170.7,212.08,188.8,191.39,253.46,235.36,390.54,318.12,310.36,393.13,354.33,263.81,237.95,292.26,305.19,263.81,212.08,266.4,219.84,204.32,129.32,93.11,43.97,54.31,38.8,18.1,36.21,25.86,25.86,7.76,7.76,15.52,33.62,77.59,103.45,144.84,144.84,124.15,193.98,181.05,160.35,106.04,155.18,111.21,77.59,43.97,82.76,62.07,85.35,54.31,93.11,82.76,98.28,191.39,276.74,1169.04,2423.42,3602.8,2852.76,969.89,545.72,237.95,139.66,98.28,67.25,54.31,59.49,69.83,80.18
10027,15.77,7.89,20.51,14.2,22.08,25.24,22.08,23.66,17.35,28.39,36.28,23.66,42.59,74.14,127.77,123.04,157.74,192.45,167.21,165.63,153.01,190.87,414.86,342.3,413.28,339.15,290.25,282.36,212.95,198.76,212.95,220.84,236.61,255.54,252.39,198.76,160.9,119.88,96.22,64.67,53.63,26.82,18.93,18.93,17.35,12.62,11.04,18.93,22.08,63.1,83.6,105.69,104.11,121.46,118.31,135.66,154.59,148.28,156.16,134.08,113.57,96.22,55.21,69.41,45.75,58.36,58.36,104.11,67.83,159.32,242.92,1093.15,2132.68,2593.28,2803.08,1249.32,613.62,320.22,134.08,148.28,69.41,53.63,93.07,99.38,80.45
10028,16.89,6.33,16.89,10.56,12.67,19,10.56,21.11,44.33,23.22,46.44,46.44,48.55,80.22,118.22,90.77,126.66,213.21,232.21,208.99,208.99,198.44,318.77,259.66,268.1,253.32,225.88,170.99,177.33,170.99,154.11,147.77,173.1,149.88,137.22,114,124.55,76,38,19,31.67,10.56,19,4.22,8.44,10.56,21.11,14.78,21.11,27.44,63.33,80.22,109.77,147.77,130.88,103.44,132.99,86.55,109.77,107.66,111.88,109.77,84.44,73.89,76,92.89,126.66,143.55,137.22,187.88,291.32,1737.38,2210.25,2168.03,2136.36,956.3,519.31,335.65,179.44,151.99,97.11,59.11,63.33,97.11,114
10029,28.12,24.29,29.4,23.01,12.78,19.18,21.73,21.73,24.29,29.4,49.86,63.92,57.53,60.08,125.28,104.83,185.36,239.05,213.49,272.29,235.22,301.69,438.48,403.96,407.8,423.14,379.67,354.11,268.46,360.5,320.87,267.18,288.91,325.98,283.8,292.75,208.37,143.18,117.61,83.09,70.31,33.24,47.3,17.9,15.34,16.62,7.67,12.78,28.12,40.91,103.55,118.89,166.19,181.53,213.49,134.23,163.63,141.9,127.84,159.8,113.77,86.93,75.42,48.58,58.8,63.92,77.98,88.21,74.15,198.15,193.03,797.7,2310.01,4157.25,3675.3,1537.87,605.95,300.42,153.4,70.31,52.41,44.74,66.48,47.3,49.86
10030,20.5,10.25,13.67,23.92,13.67,27.33,10.25,13.67,47.83,20.5,27.33,44.41,37.58,119.58,85.41,136.66,191.32,283.57,249.4,174.24,245.99,252.82,386.06,324.57,368.98,368.98,348.48,324.57,252.82,290.4,273.32,317.73,283.57,293.82,276.74,263.07,245.99,129.83,105.91,64.91,44.41,47.83,47.83,20.5,17.08,10.25,17.08,20.5,23.92,71.75,92.25,160.57,126.41,112.74,194.74,249.4,129.83,122.99,146.91,160.57,82,71.75,51.25,30.75,41,85.41,64.91,58.08,64.91,143.49,266.49,799.46,2159.22,3184.16,2986.01,1199.19,416.81,170.82,122.99,68.33,47.83,27.33,68.33,44.41,30.75
10031,18.64,22.03,22.03,32.19,18.64,15.25,33.88,22.03,42.36,45.74,60.99,50.83,105.04,113.51,152.48,182.98,193.14,286.33,316.82,228.72,266,321.91,447.28,330.38,398.15,406.62,304.96,321.91,321.91,330.38,304.96,310.05,323.6,298.19,286.33,277.86,144.01,101.65,60.99,67.77,71.16,37.27,15.25,13.55,18.64,6.78,11.86,6.78,22.03,54.22,50.83,99.96,105.04,120.29,121.99,159.26,101.65,113.51,115.21,76.24,86.41,72.85,59.3,67.77,45.74,72.85,66.08,62.69,76.24,96.57,166.04,803.07,1814.53,3386.78,2870.04,1013.16,484.55,235.5,166.04,84.71,66.08,23.72,44.05,47.44,54.22
10032,33.31,26.96,22.2,30.13,23.79,23.79,17.45,20.62,60.27,20.62,44.41,60.27,42.82,122.12,196.67,212.53,206.18,306.1,299.76,253.76,279.14,361.61,464.7,442.5,425.05,409.19,315.62,318.79,344.17,339.41,325.13,320.37,206.18,220.46,212.53,147.5,155.43,99.92,72.96,33.31,38.06,42.82,25.38,20.62,23.79,12.69,30.13,14.27,55.51,49.17,74.54,77.71,103.09,85.64,112.61,111.02,99.92,99.92,95.16,93.57,85.64,91.99,57.1,42.82,33.31,63.44,71.37,50.75,47.58,104.68,147.5,750.18,1649.46,2991.22,2448.81,1078.49,486.91,215.7,114.19,76.13,41.24,38.06,23.79,36.48,52.34
10033,23.92,30.76,30.76,20.51,23.92,11.96,37.6,35.89,46.14,56.39,54.68,58.1,54.68,112.79,189.69,227.28,247.79,275.13,333.23,345.19,314.43,403.3,483.61,432.35,406.71,423.8,316.14,343.49,307.6,328.11,281.97,345.19,276.84,246.08,187.98,199.94,138.42,71.77,61.52,42.72,27.34,29.05,18.8,17.09,22.22,11.96,13.67,10.25,13.67,23.92,30.76,59.81,73.48,82.03,109.37,126.46,90.57,82.03,100.82,88.86,70.06,70.06,83.74,42.72,56.39,46.14,54.68,95.7,49.56,97.41,182.85,581.02,1647.36,2940.98,2672.69,1163.75,468.23,228.99,116.2,71.77,32.47,23.92,29.05,29.05,52.98
10034,37.88,23.67,35.51,28.41,18.94,14.2,14.2,21.31,14.2,52.08,42.61,63.92,89.96,61.55,153.88,172.81,220.16,279.34,288.81,303.02,340.89,421.38,539.75,549.22,414.28,445.06,400.08,336.16,324.32,371.67,291.18,293.55,303.02,286.45,272.24,175.18,127.84,89.96,104.16,78.12,49.71,33.14,16.57,23.67,4.73,11.84,2.37,18.94,30.78,37.88,56.82,71.02,151.51,101.79,71.02,125.47,118.37,97.06,82.86,75.75,63.92,78.12,40.24,30.78,37.88,28.41,61.55,56.82,82.86,106.53,191.75,662.85,1711.57,3262.17,2511.73,1129.21,530.28,196.49,106.53,56.82,28.41,37.88,33.14,33.14,47.35
